Time,Sent,Received
19:09:33, 0, 1
19:09:33, 1, 1
19:09:36, 1, 2
19:09:36, 2, 2
19:09:36, 2, 3
19:09:36, 3, 3
19:09:39, 3, 4
19:09:39, 4, 4
19:09:39, 4, 5
19:09:39, 5, 5
19:09:42, 5, 6
19:09:42, 6, 6
19:09:48, 6, 7
19:09:48, 7, 7
19:09:48, 7, 8
19:09:48, 8, 8
19:09:51, 8, 9
19:09:51, 9, 9
19:09:54, 9, 10
19:09:54, 10, 10
19:09:54, 10, 11
19:09:54, 11, 11
19:09:57, 11, 12
19:09:57, 12, 12
19:09:57, 12, 13
19:09:57, 13, 13
19:09:57, 13, 14
19:09:57, 14, 14
