Time,Sent,Received,Sent_Drop,Received_Drop
001,0,1,0,0
002,0,2,1,0
003,1,2,1,0
004,1,3,1,0
005,1,4,1,1
006,1,5,2,1
007,2,5,2,1
008,2,6,2,1
009,3,6,2,1
010,3,7,2,1
011,3,8,3,1
012,3,9,4,1
013,3,10,5,1
014,4,10,5,1
015,4,11,5,1
016,5,11,5,1
017,5,12,5,1
018,5,13,6,1
019,6,13,6,1
020,6,14,6,1
021,7,14,6,1
